Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:43,14.195219,9.192028,,,,,
12/7/2022 10:43,14.193825,9.184959,,,,,
12/7/2022 10:43,14.1927,9.170959,,,,,
12/7/2022 10:43,14.195323,9.162925,,,,,
12/7/2022 10:43,14.1972,9.148507,,,,,
12/7/2022 10:43,14.191402,9.138638,,,,,
12/7/2022 10:43,14.179648,9.116216,,,,,
12/7/2022 10:43,14.1786,9.106185,,,,,
12/7/2022 10:43,14.17475,9.087537,,,,,
12/7/2022 10:43,14.169003,9.077391,,,,,
12/7/2022 10:43,14.165772,9.068734,,,,,
12/7/2022 10:44,14.160328,9.068548,,,,,
12/7/2022 10:44,14.158725,9.069241,,,,,
12/7/2022 10:44,14.158842,9.070845,,,,,
12/7/2022 10:44,14.156262,9.069047,,,,,
12/7/2022 10:44,14.15581,9.056988,,,,,
12/7/2022 10:44,14.155788,9.032266,,,,,
12/7/2022 10:44,14.155578,8.998178,,,,,
12/7/2022 10:44,14.151494,8.98496,,,,,
12/7/2022 10:44,14.126452,8.978704,,,,,
12/7/2022 10:44,14.105103,8.978364,,,,,
12/7/2022 10:44,14.099252,8.974596,,,,,
12/7/2022 10:44,14.097716,8.971377,,,,,
12/7/2022 10:45,14.097444,8.967868,,,,,
12/7/2022 10:45,14.093612,8.967784,,,,,
12/7/2022 10:45,14.07291,8.969829,,,,,
12/7/2022 10:45,14.070858,8.961368,,,,,
12/7/2022 10:45,14.06939,8.925952,,,,,
12/7/2022 10:45,14.068566,8.915502,,,,,
12/7/2022 10:45,14.067103,8.915345,,,,,
12/7/2022 10:45,14.060442,8.91227,,,,,
12/7/2022 10:45,14.057736,8.908198,,,,,
12/7/2022 10:45,14.057569,8.886809,,,,,
12/7/2022 10:45,14.05719,8.873295,,,,,
12/7/2022 10:45,14.054694,8.869308,,,,,
12/7/2022 10:46,14.049806,8.864536,,,,,
12/7/2022 10:46,14.02923,8.86048,,,,,
12/7/2022 10:46,14.015788,8.859309,,,,,
12/7/2022 10:46,14.009066,8.856503,,,,,
12/7/2022 10:46,14.008869,8.850106,,,,,
12/7/2022 10:46,14.008933,8.848985,,,,,
12/7/2022 10:46,14.00899,8.847636,,,,,
12/7/2022 10:46,14.00846,8.846892,,,,,
12/7/2022 10:46,14.005306,8.842429,,,,,
12/7/2022 10:46,13.996702,8.822949,,,,,
12/7/2022 10:46,13.995886,8.793955,,,,,
12/7/2022 10:46,13.985884,8.792092,,,,,
12/7/2022 10:47,13.970736,8.794263,,,,,
12/7/2022 10:47,13.966778,8.793947,,,,,
12/7/2022 10:47,13.964862,8.793814,,,,,
12/7/2022 10:47,13.964517,8.793762,,,,,
12/7/2022 10:47,13.963981,8.777517,,,,,
12/7/2022 10:47,13.962044,8.749154,,,,,
12/7/2022 10:47,13.9591,8.740298,,,,,
12/7/2022 10:47,13.9571,8.729605,,,,,
12/7/2022 10:47,13.942403,8.726539,,,,,
12/7/2022 10:47,13.936522,8.728599,,,,,
12/7/2022 10:47,13.93556,8.730466,,,,,
12/7/2022 10:47,13.937419,8.720954,,,,,
12/7/2022 10:48,13.938342,8.707738,,,,,
12/7/2022 10:48,13.942177,8.700793,,,,,
12/7/2022 10:48,13.94275,8.701752,,,,,
12/7/2022 10:48,13.938697,8.703617,,,,,
12/7/2022 10:48,13.93319,8.702723,,,,,
12/7/2022 10:48,13.921228,8.699409,,,,,
12/7/2022 10:48,13.916358,8.696184,,,,,
12/7/2022 10:48,13.913775,8.694222,,,,,
12/7/2022 10:48,13.913369,8.691175,,,,,
12/7/2022 10:48,13.912964,8.69042,,,,,
12/7/2022 10:48,13.912444,8.688621,,,,,
12/7/2022 10:48,13.912444,8.686571,,,,,
12/7/2022 10:49,13.91483,8.684269,,,,,
12/7/2022 10:49,13.884195,8.677969,,,,,
12/7/2022 10:49,13.845219,8.668883,,,,,
12/7/2022 10:49,13.837069,8.667036,,,,,
