Insight Version,1.0.5.2,,,,
Generation Time,11/25/2022 16:05,,,,
Date From,11/25/2022 9:00,,,,
Date To,11/25/2022 16:05,,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,
11/25/2022 9:16,15.023753,11.865867,,,
11/25/2022 9:16,15.021144,11.868438,,,
11/25/2022 9:16,15.02034,11.868406,,,
11/25/2022 9:17,15.020834,11.866589,,,
11/25/2022 9:17,15.046292,11.862739,,,
11/25/2022 9:17,15.07371,11.859995,,,
11/25/2022 9:17,15.07266,11.866383,,,
11/25/2022 9:17,15.070831,11.871359,,,
11/25/2022 9:17,15.071888,11.882951,,,
11/25/2022 9:17,15.075216,11.898502,,,
11/25/2022 9:17,15.086278,11.914978,,,
11/25/2022 9:17,15.115,11.924601,,,
11/25/2022 9:17,15.115889,11.957751,,,
11/25/2022 9:17,15.109338,11.965255,,,
11/25/2022 9:17,15.108578,11.965912,,,
11/25/2022 9:18,15.10776,11.966752,,,
11/25/2022 9:18,15.09963,11.968877,,,
11/25/2022 9:18,15.084866,11.981492,,,
11/25/2022 9:18,15.083753,11.982491,,,
11/25/2022 9:18,15.08364,11.98937,,,
11/25/2022 9:18,15.089573,12.005102,,,
11/25/2022 9:18,15.08971,12.023646,,,
11/25/2022 9:18,15.08276,12.02888,,,
11/25/2022 9:18,15.077717,12.024491,,,
11/25/2022 9:18,15.073603,12.022164,,,
11/25/2022 9:18,15.069655,12.01838,,,
11/25/2022 9:18,15.054025,12.014563,,,
11/25/2022 9:19,15.040184,12.003754,,,
11/25/2022 9:19,15.032853,11.980789,,,
11/25/2022 9:19,15.033622,11.980097,,,
11/25/2022 9:19,15.032972,11.979988,,,
11/25/2022 9:19,15.028402,11.978386,,,
11/25/2022 9:19,15.027448,11.975517,,,
11/25/2022 9:19,15.041984,11.97567,,,
11/25/2022 9:19,15.04644,11.973838,,,
11/25/2022 9:19,15.04566,11.965021,,,
11/25/2022 9:19,15.040648,11.960741,,,
11/25/2022 9:19,15.040903,11.960699,,,
11/25/2022 9:19,15.044502,11.959952,,,
11/25/2022 9:20,15.044956,11.956673,,,
11/25/2022 9:20,15.040581,11.950133,,,
11/25/2022 9:20,15.034436,11.944707,,,
11/25/2022 9:20,15.031573,11.943406,,,
11/25/2022 9:20,15.033097,11.943747,,,
11/25/2022 9:20,15.03336,11.943984,,,
11/25/2022 9:20,15.035734,11.94414,,,
11/25/2022 9:20,15.04716,11.94422,,,
11/25/2022 9:20,15.058466,11.943837,,,
11/25/2022 9:20,15.05894,11.943587,,,
11/25/2022 9:20,15.062653,11.942854,,,
11/25/2022 9:20,15.065266,11.942162,,,
11/25/2022 9:21,15.051294,11.937095,,,
11/25/2022 9:21,15.05021,11.930236,,,
11/25/2022 9:21,15.05391,11.924659,,,
11/25/2022 9:21,15.058203,11.918309,,,
11/25/2022 9:21,15.068327,11.913028,,,
11/25/2022 9:21,15.073962,11.908259,,,
11/25/2022 9:21,15.074358,11.907426,,,
11/25/2022 9:21,15.07473,11.911827,,,
11/25/2022 9:21,15.075938,11.912638,,,
11/25/2022 9:21,15.076956,11.916412,,,
11/25/2022 9:21,15.08084,11.919737,,,
11/25/2022 9:21,15.083875,11.920401,,,
11/25/2022 9:22,15.087431,11.920806,,,
11/25/2022 9:22,15.089616,11.913988,,,
11/25/2022 9:22,15.093375,11.911081,,,
11/25/2022 9:22,15.09212,11.911202,,,
11/25/2022 9:22,15.09007,11.91091,,,
11/25/2022 9:22,15.088181,11.911236,,,
11/25/2022 9:22,15.082369,11.915659,,,
11/25/2022 9:22,15.076844,11.917852,,,
11/25/2022 9:22,15.074775,11.91582,,,
11/25/2022 9:22,15.076538,11.912723,,,
11/25/2022 9:22,15.081717,11.913879,,,
11/25/2022 9:22,15.081748,11.915542,,,
11/25/2022 9:23,15.074073,11.912427,,,
11/25/2022 9:23,15.069,11.909569,,,
11/25/2022 9:23,15.068673,11.90806,,,
11/25/2022 9:23,15.072831,11.90797,,,
11/25/2022 9:23,15.071812,11.909059,,,
11/25/2022 9:23,15.070978,11.91384,,,
11/25/2022 9:23,15.073338,11.913461,,,
11/25/2022 9:23,15.086447,11.911744,,,
11/25/2022 9:23,15.092123,11.910936,,,
11/25/2022 9:23,15.088853,11.910123,,,
11/25/2022 9:23,15.067294,11.908494,,,
11/25/2022 9:23,15.02789,11.90843,,,
11/25/2022 9:24,15.026078,11.907784,,,
11/25/2022 9:24,15.026647,11.907201,,,
11/25/2022 9:24,15.033053,11.907973,,,
11/25/2022 9:24,15.061522,11.909319,,,
11/25/2022 9:24,15.083295,11.910784,,,
11/25/2022 9:24,15.096511,11.910912,,,
11/25/2022 9:24,15.103997,11.911374,,,
11/25/2022 9:24,15.104934,11.911561,,,
11/25/2022 9:24,15.104562,11.914434,,,
11/25/2022 9:24,15.10607,11.921466,,,
11/25/2022 9:24,15.1085,11.924363,,,
11/25/2022 9:24,15.108734,11.912905,,,
11/25/2022 9:25,15.109927,11.905941,,,
11/25/2022 9:25,15.101098,11.906448,,,
11/25/2022 9:25,15.102075,11.909995,,,
11/25/2022 9:25,15.106006,11.911271,,,
11/25/2022 9:25,15.113647,11.91097,,,
11/25/2022 9:25,15.114094,11.909826,,,
11/25/2022 9:25,15.114581,11.90944,,,
11/25/2022 9:25,15.115047,11.912243,,,
11/25/2022 9:25,15.114078,11.913169,,,
11/25/2022 9:25,15.117912,11.913308,,,
11/25/2022 9:25,15.121817,11.915093,,,
11/25/2022 9:25,15.111972,11.918516,,,
11/25/2022 9:26,15.101566,11.921876,,,
11/25/2022 9:26,15.092606,11.92384,,,
11/25/2022 9:26,15.089927,11.923971,,,
11/25/2022 9:26,15.080519,11.92453,,,
11/25/2022 9:26,15.07106,11.925304,,,
11/25/2022 9:26,15.071716,11.931877,,,
11/25/2022 9:26,15.074081,11.936416,,,
11/25/2022 9:26,15.076317,11.93758,,,
11/25/2022 9:26,15.076788,11.938137,,,
11/25/2022 9:26,15.081233,11.939011,,,
11/25/2022 9:26,15.087894,11.94337,,,
11/25/2022 9:26,15.08892,11.946465,,,
11/25/2022 9:27,15.086753,11.948358,,,
11/25/2022 9:27,15.085953,11.948302,,,
11/25/2022 9:27,15.08615,11.948201,,,
11/25/2022 9:27,15.085981,11.946958,,,
11/25/2022 9:27,15.082872,11.946192,,,
11/25/2022 9:27,15.081727,11.948428,,,
11/25/2022 9:27,15.081431,11.953657,,,
11/25/2022 9:27,15.081242,11.953692,,,
11/25/2022 9:27,15.073434,11.953735,,,
11/25/2022 9:27,15.067956,11.953761,,,
11/25/2022 9:27,15.060925,11.956407,,,
11/25/2022 9:27,15.05693,11.960603,,,
11/25/2022 9:28,15.05831,11.96317,,,
11/25/2022 9:28,15.061294,11.963001,,,
11/25/2022 9:28,15.064872,11.960736,,,
11/25/2022 9:28,15.065066,11.953548,,,
11/25/2022 9:28,15.065133,11.95448,,,
11/25/2022 9:28,15.067056,11.962227,,,
11/25/2022 9:28,15.067514,11.963234,,,
11/25/2022 9:28,15.0652,11.952263,,,
11/25/2022 9:28,15.065025,11.944934,,,
11/25/2022 9:28,15.065203,11.94172,,,
11/25/2022 9:28,15.064778,11.940976,,,
11/25/2022 9:28,15.0642,11.938988,,,
11/25/2022 9:29,15.064984,11.937462,,,
11/25/2022 9:29,15.065622,11.937289,,,
11/25/2022 9:29,15.0634,11.936866,,,
11/25/2022 9:29,15.057103,11.937001,,,
11/25/2022 9:29,15.05851,11.94169,,,
11/25/2022 9:29,15.073364,11.943929,,,
11/25/2022 9:29,15.082594,11.939529,,,
11/25/2022 9:29,15.091044,11.938053,,,
11/25/2022 9:29,15.095225,11.935501,,,
11/25/2022 9:29,15.095778,11.93385,,,
11/25/2022 9:29,15.094358,11.933589,,,
11/25/2022 9:29,15.091177,11.935717,,,
11/25/2022 9:30,15.084988,11.936729,,,
11/25/2022 9:30,15.07269,11.937316,,,
11/25/2022 9:30,15.049978,11.936729,,,
11/25/2022 9:30,15.054147,11.936615,,,
11/25/2022 9:30,15.090019,11.940086,,,
11/25/2022 9:30,15.099388,11.94577,,,
11/25/2022 9:30,15.100406,11.949451,,,
11/25/2022 9:30,15.10921,11.953471,,,
11/25/2022 9:30,15.111584,11.955227,,,
11/25/2022 9:30,15.119369,11.955342,,,
11/25/2022 9:30,15.128528,11.956184,,,
11/25/2022 9:30,15.13645,11.9579,,,
11/25/2022 9:31,15.140312,11.959098,,,
11/25/2022 9:31,15.13986,11.962746,,,
11/25/2022 9:31,15.135842,11.964273,,,
11/25/2022 9:31,15.117453,11.965113,,,
11/25/2022 9:31,15.116217,11.970266,,,
11/25/2022 9:31,15.135412,11.976977,,,
11/25/2022 9:31,15.150756,11.98278,,,
11/25/2022 9:31,15.173825,11.985451,,,
11/25/2022 9:31,15.18739,11.999465,,,
11/25/2022 9:31,15.199872,12.01021,,,
11/25/2022 9:31,15.195219,12.019979,,,
11/25/2022 9:31,15.186088,12.023234,,,
11/25/2022 9:32,15.186716,12.020926,,,
11/25/2022 9:32,15.187519,12.020706,,,
11/25/2022 9:32,15.187433,12.015379,,,
11/25/2022 9:32,15.187244,12.01047,,,
11/25/2022 9:32,15.186606,12.008109,,,
11/25/2022 9:32,15.18645,12.00916,,,
11/25/2022 9:32,15.186434,12.012571,,,
11/25/2022 9:32,15.1846,12.012166,,,
11/25/2022 9:32,15.182305,12.012461,,,
11/25/2022 9:32,15.178366,12.01318,,,
11/25/2022 9:32,15.168247,12.013216,,,
11/25/2022 9:32,15.168447,12.012742,,,
11/25/2022 9:33,15.177434,12.009716,,,
11/25/2022 9:33,15.166767,12.008353,,,
11/25/2022 9:33,15.165458,12.007535,,,
11/25/2022 9:33,15.166844,12.005322,,,
11/25/2022 9:33,15.16144,12.00437,,,
11/25/2022 9:33,15.151017,12.003387,,,
11/25/2022 9:33,15.147317,12.003599,,,
11/25/2022 9:33,15.144744,12.003502,,,
11/25/2022 9:33,15.141966,12.002082,,,
11/25/2022 9:33,15.143738,12.002166,,,
11/25/2022 9:33,15.143866,12.002303,,,
11/25/2022 9:33,15.144575,12.001036,,,
11/25/2022 9:34,15.144869,12.000745,,,
11/25/2022 9:34,15.140166,11.997134,,,
11/25/2022 9:34,15.138,11.991234,,,
11/25/2022 9:34,15.138122,11.991499,,,
11/25/2022 9:34,15.148894,11.993107,,,
11/25/2022 9:34,15.155134,11.992724,,,
11/25/2022 9:34,15.155644,11.990367,,,
11/25/2022 9:34,15.155592,11.979768,,,
11/25/2022 9:34,15.152483,11.973153,,,
11/25/2022 9:34,15.149358,11.972787,,,
11/25/2022 9:34,15.14889,11.972688,,,
11/25/2022 9:34,15.146378,11.972474,,,
11/25/2022 9:35,15.142722,11.971766,,,
11/25/2022 9:35,15.141358,11.964115,,,
11/25/2022 9:35,15.141277,11.963356,,,
11/25/2022 9:35,15.13986,11.963405,,,
11/25/2022 9:35,15.138805,11.962962,,,
11/25/2022 9:35,15.139028,11.962114,,,
11/25/2022 9:35,15.139272,11.962466,,,
11/25/2022 9:35,15.13575,11.964942,,,
11/25/2022 9:35,15.130638,11.967436,,,
11/25/2022 9:35,15.114747,11.971955,,,
11/25/2022 9:35,15.128523,11.979559,,,
11/25/2022 9:35,15.161256,11.991439,,,
11/25/2022 9:36,15.1769,11.998776,,,
11/25/2022 9:36,15.18,11.99678,,,
11/25/2022 9:36,15.17997,11.995054,,,
11/25/2022 9:36,15.179681,11.994631,,,
11/25/2022 9:36,15.180127,11.999437,,,
11/25/2022 9:36,15.179878,12.000627,,,
11/25/2022 9:36,15.179884,12.003824,,,
11/25/2022 9:36,15.177006,12.012788,,,
11/25/2022 9:36,15.174648,12.01844,,,
11/25/2022 9:36,15.17327,12.015208,,,
11/25/2022 9:36,15.172977,12.019166,,,
11/25/2022 9:36,15.179781,12.035985,,,
11/25/2022 9:37,15.19644,12.047252,,,
11/25/2022 9:37,15.19579,12.053892,,,
11/25/2022 9:37,15.195903,12.058596,,,
11/25/2022 9:37,15.195825,12.061499,,,
11/25/2022 9:37,15.194186,12.061255,,,
11/25/2022 9:37,15.192052,12.060037,,,
11/25/2022 9:37,15.186819,12.058534,,,
11/25/2022 9:37,15.18624,12.05541,,,
11/25/2022 9:37,15.185116,12.057181,,,
11/25/2022 9:37,15.182789,12.068209,,,
11/25/2022 9:37,15.179638,12.069813,,,
11/25/2022 9:37,15.184088,12.073569,,,
11/25/2022 9:38,15.19496,12.073988,,,
11/25/2022 9:38,15.187847,12.070911,,,
11/25/2022 9:38,15.18368,12.067977,,,
