Group 2,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Date,Time,Status,Current,Press,Mfm2,Refelec,VoltSup,
,,,Instantaneous value,Instantaneous value,Average,Instantaneous value,Instantaneous value,
,,,A,Bar,Ln/min,V,V,
07.12.2022,06:55:54,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:55,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:56,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:57,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:58,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:59,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:00,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:01,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:02,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:03,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:04,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:05,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:06,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:07,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:08,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:09,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:10,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:11,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:12,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:13,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:14,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:15,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:16,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:17,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:18,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:19,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:20,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:21,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:22,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:23,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:24,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:25,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:26,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:27,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:28,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:29,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:30,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:31,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:32,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:33,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:34,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:35,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:36,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:37,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:38,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:39,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:40,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:41,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:42,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:43,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:44,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:45,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:46,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:47,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:48,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:49,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:50,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:51,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:56:52,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:53,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:56:54,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:55,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:56,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:56:57,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:56:58,OK,0.01,-0.008,0,0,0.14,
