Timestamp,Current (A),Gas_Flow_Rate (m3/h),CO2_in (%),CO2_out (%)
0:02:36,4.5,0.5,15.170016,11.715909
0:02:37,4.5,0.5,15.171153,11.716059
0:02:38,4.5,0.5,15.1689,11.716619
0:02:39,4.5,0.5,15.166078,11.719309
0:02:40,4.5,0.5,15.165189,11.731498
0:02:41,4.5,0.5,15.165181,11.742288
0:02:42,4.5,0.5,15.170456,11.745063
0:02:43,4.5,0.5,15.20241,11.757138
0:02:44,4.5,0.5,15.21386,11.76302
0:02:45,4.5,0.5,15.215817,11.762995
0:02:46,4.5,0.5,15.220038,11.761292
0:02:47,4.5,0.5,15.221411,11.754941
0:02:48,4.5,0.5,15.216884,11.764093
0:02:49,4.5,0.5,15.2088,11.772277
0:02:50,4.5,0.5,15.193506,11.772072
0:02:51,4.5,0.5,15.172852,11.771265
0:02:52,4.5,0.5,15.168566,11.770062
0:02:53,4.5,0.5,15.168556,11.765495
0:02:54,4.5,0.5,15.167181,11.761014
0:02:55,4.5,0.5,15.16639,11.760831
0:02:56,4.5,0.5,15.165552,11.760756
0:02:57,4.5,0.5,15.165434,11.760302
0:02:58,4.5,0.5,15.168456,11.759984
0:02:59,4.5,0.5,15.179938,11.760209
0:03:00,4.5,0.5,15.177036,11.77265
0:03:01,4.5,0.5,15.174323,11.787779
0:03:02,4.5,0.5,15.184934,11.794627
0:03:03,4.5,0.5,15.192806,11.794682
0:03:04,4.5,0.5,15.19949,11.793635
0:03:05,4.5,0.5,15.199119,11.79474
0:03:06,4.5,0.5,15.196583,11.805837
0:03:07,4.5,0.5,15.195208,11.806805
0:03:08,4.5,0.5,15.192416,11.806662
0:03:09,4.5,0.5,15.186369,11.804895
0:03:10,4.5,0.5,15.181177,11.799831
0:03:11,4.5,0.5,15.180278,11.798411
0:03:12,4.5,0.5,15.177277,11.798861
0:03:13,4.5,0.5,15.172738,11.799141
0:03:14,4.5,0.5,15.158084,11.79994
0:03:15,4.5,0.5,15.13434,11.801373
0:03:16,4.5,0.5,15.137745,11.80227
0:03:17,4.5,0.5,15.14376,11.801566
0:03:18,4.5,0.5,15.145525,11.801084
0:03:19,4.5,0.5,15.14534,11.800951
0:03:20,4.5,0.5,15.145025,11.800758
0:03:21,4.5,0.5,15.145544,11.798017
0:03:22,4.5,0.5,15.145519,11.793084
0:03:23,4.5,0.5,15.146638,11.79323
0:03:24,4.5,0.5,15.169634,11.80051
0:03:25,4.5,0.5,15.183373,11.784145
0:03:26,4.5,0.5,15.185323,11.756665
0:03:27,4.5,0.5,15.185688,11.75576
0:03:28,4.5,0.5,15.181303,11.758666
0:03:29,4.5,0.5,15.181333,11.75887
0:03:30,4.5,0.5,15.182662,11.762602
0:03:31,4.5,0.5,15.18292,11.769339
0:03:32,4.5,0.5,15.182794,11.780234
0:03:33,4.5,0.5,15.182825,11.780825
0:03:34,4.5,0.5,15.183738,11.776991
0:03:35,4.5,0.5,15.183969,11.772102
0:03:36,4.5,0.5,15.187484,11.769158
0:03:37,4.5,0.5,15.190875,11.763124
0:03:38,4.5,0.5,15.190845,11.759373
0:03:39,4.5,0.5,15.189797,11.75661
0:03:40,4.5,0.5,15.188986,11.758685
0:03:41,4.5,0.5,15.187714,11.760352
0:03:42,4.5,0.5,15.188156,11.757427
0:03:43,4.5,0.5,15.188956,11.751998
0:03:44,4.5,0.5,15.189169,11.748358
0:03:45,4.5,0.5,15.19679,11.746149
0:03:46,4.5,0.5,15.20237,11.746014
0:03:47,4.5,0.5,15.196983,11.74543
0:03:48,4.5,0.5,15.190781,11.743398
0:03:49,4.5,0.5,15.194256,11.740333
0:03:50,4.5,0.5,15.200127,11.733519
0:03:51,4.5,0.5,15.191228,11.730841
0:03:52,4.5,0.5,15.181847,11.741588
0:03:53,4.5,0.5,15.16503,11.752927
0:03:54,4.5,0.5,15.15823,11.754049
0:03:55,4.5,0.5,15.157853,11.753968
0:03:56,4.5,0.5,15.158503,11.753912
0:03:57,4.5,0.5,15.156275,11.754154
0:03:58,4.5,0.5,15.156975,11.754574
0:03:59,4.5,0.5,15.159728,11.753332
0:04:00,4.5,0.5,15.160389,11.753067
0:04:01,4.5,0.5,15.164988,11.757228
0:04:02,4.5,0.5,15.173562,11.758449
0:04:03,4.5,0.5,15.175338,11.764373
0:04:04,4.5,0.5,15.17716,11.784332
0:04:05,4.5,0.5,15.181648,11.782795
0:04:06,4.5,0.5,15.189184,11.779964
0:04:07,4.5,0.5,15.187423,11.780546
